id	height	width
NMAAHC-HCA_12.22.A	1746.0	1446.0
NMAAHC-HCA_12.25.D	1872.0	1440.0
NMAAHC-HCA_12.27.C.2	1278.0	825.0
NMAAHC-HCA_12.28.B	1734.0	1434.0
NMAAHC-HCA_12.28.C	1446.0	1710.0
NMAAHC-HCA_12.29.A.2	1281.0	816.0
NMAAHC-HCA_12.3.D	1872.0	1440.0
NMAAHC-HCA_12.30.C	1446.0	1710.0
NMAAHC-HCA_12.32.A.1	1290.0	820.0
NMAAHC-HCA_12.32.C	1710.0	1446.0
NMAAHC-HCA_12.32.D.2	1314.0	830.0
NMAAHC-HCA_12.33.D	1872.0	1440.0
NMAAHC-HCA_12.34.D.1	1276.0	820.0
NMAAHC-HCA_12.37.C	1710.0	1446.0
NMAAHC-HCA_12.38.A.2	1306.0	828.0
NMAAHC-HCA_12.39.C	1710.0	1446.0
NMAAHC-HCA_12.41.D	1440.0	1872.0
NMAAHC-HCA_12.44.B	1734.0	1434.0
NMAAHC-HCA_12.44.C.1	1290.0	753.0
NMAAHC-HCA_12.45.B.2	1248.0	792.0
NMAAHC-HCA_12.46.B	1734.0	1434.0
NMAAHC-HCA_12.46.D	1872.0	1440.0
NMAAHC-HCA_21.15.A	1348.0	1660.0
NMAAHC-HCA_21.15.D	1672.0	1331.0
NMAAHC-HCA_21.17.B	1660.0	1362.0
NMAAHC-HCA_21.19.B	1362.0	1660.0
NMAAHC-HCA_21.20.A	1348.0	1660.0
NMAAHC-HCA_21.27.A	1342.0	1660.0
NMAAHC-HCA_21.28.A	1647.0	1348.0
NMAAHC-HCA_21.28.B.1	750.0	1138.0
NMAAHC-HCA_21.33.C	1323.0	1640.0
NMAAHC-HCA_20.19.A	1800.0	1434.0
NMAAHC-HCA_20.2.A	1800.0	1434.0
NMAAHC-HCA_20.20.B	1812.0	1417.0
NMAAHC-HCA_20.20.D	1794.0	1423.0
NMAAHC-HCA_20.22.A	1800.0	1434.0
NMAAHC-HCA_20.24.C	1770.0	1410.0
NMAAHC-HCA_20.25.A	1800.0	1434.0
NMAAHC-HCA_20.25.B	1812.0	1417.0
NMAAHC-HCA_20.28.D	1794.0	1423.0
NMAAHC-HCA_20.3.A	1800.0	1434.0
NMAAHC-HCA_20.30.A	1800.0	1434.0
NMAAHC-HCA_20.30.C	1770.0	1410.0
NMAAHC-HCA_20.32.C	1770.0	1410.0
NMAAHC-HCA_20.33.D	1794.0	1423.0
NMAAHC-HCA_20.36.A	1800.0	1434.0
NMAAHC-HCA_20.38.A	1434.0	1800.0
NMAAHC-HCA_20.38.B	1417.0	1812.0
NMAAHC-HCA_20.39.A	1800.0	1434.0
NMAAHC-HCA_20.4.B	1417.0	1812.0
NMAAHC-HCA_20.4.D	1423.0	1794.0
NMAAHC-HCA_20.40.C	1770.0	1410.0
NMAAHC-HCA_20.42.C	1770.0	1410.0
NMAAHC-HCA_20.43.C	1770.0	1410.0
NMAAHC-HCA_21.22.D	1672.0	1331.0
NMAAHC-HCA_21.25.D	1638.0	1331.0
NMAAHC-HCA_21.26.B	1660.0	1362.0
NMAAHC-HCA_21.28.B.2	1223.0	777.0
NMAAHC-HCA_21.30.D	1331.0	1672.0
NMAAHC-HCA_21.34.B	1362.0	1660.0
NMAAHC-HCA_20.42.B	1812.0	1417.0
NMAAHC-HCA_20.43.A	1800.0	1434.0
NMAAHC-HCA_20.5.C	1410.0	1770.0
NMAAHC-HCA_20.5.D.2	1269.0	810.0
NMAAHC-HCA_20.6.A.2	1272.0	906.0
NMAAHC-HCA_20.9.B	1812.0	1417.0
NMAAHC-HCA_21.04.B	1660.0	1362.0
NMAAHC-HCA_21.10.C	1640.0	1323.0
NMAAHC-HCA_21.11.C	1640.0	1323.0
NMAAHC-HCA_21.12.A	1660.0	1348.0
NMAAHC-HCA_21.17.C	1640.0	1323.0
NMAAHC-2007_1_69_21_18_B_001	2000.0	1601.0
NMAAHC-HCA_21.18.D	1672.0	1331.0
NMAAHC-HCA_21.19.C	1640.0	1323.0
NMAAHC-HCA_21.19.D	1672.0	1331.0
NMAAHC-HCA_21.21.A	1348.0	1660.0
NMAAHC-HCA_21.24.C	1640.0	1323.0
NMAAHC-HCA_21.26.C	1640.0	1323.0
NMAAHC-HCA_21.28.C	1640.0	1303.0
NMAAHC-HCA_21.33.A	1348.0	1660.0
NMAAHC-HCA_21.33.B	1362.0	1660.0
NMAAHC-HCA_21.34.A	1660.0	1348.0
NMAAHC-HCA_21.37.D	1672.0	1331.0
NMAAHC-HCA_21.39.C	1640.0	1323.0
NMAAHC-HCA_21.40.B	1362.0	1660.0
NMAAHC-HCA_20.32.A	1800.0	1434.0
NMAAHC-HCA_20.33.B	1812.0	1417.0
NMAAHC-HCA_20.38.D	1423.0	1794.0
NMAAHC-HCA_20.4.C.1	1284.0	783.0
NMAAHC-HCA_20.41.C	1770.0	1410.0
NMAAHC-HCA_20.42.D	1794.0	1423.0
NMAAHC-HCA_20.44.B	1812.0	1417.0
NMAAHC-HCA_20.6.B	1812.0	1417.0
NMAAHC-HCA_20.7.A	1800.0	1434.0
NMAAHC-2007_1_69_20_7_D	2000.0	1590.0
NMAAHC-HCA_21.01.A	1679.0	1333.0
NMAAHC-HCA_21.01.D	1663.0	1335.0
NMAAHC-HCA_21.02.A	1719.0	1335.0
NMAAHC-HCA_21.02.B	1316.0	1679.0
NMAAHC-HCA_21.08.C	1640.0	1323.0
NMAAHC-HCA_21.10.A	1660.0	1348.0
NMAAHC-HCA_21.12.B	1660.0	1362.0
NMAAHC-HCA_21.12.C	1640.0	1323.0
NMAAHC-HCA_21.13.C	1640.0	1323.0
NMAAHC-HCA_21.13.D	1672.0	1331.0
NMAAHC-HCA_21.14.A	1660.0	1348.0
NMAAHC-HCA_21.14.C	1640.0	1323.0
NMAAHC-HCA_21.24.D	1672.0	1331.0
NMAAHC-HCA_21.25.A	1660.0	1348.0
NMAAHC-HCA_21.25.C	1640.0	1323.0
NMAAHC-HCA_21.26.D	1672.0	1324.0
NMAAHC-HCA_21.35.A	1660.0	1348.0
NMAAHC-HCA_21.37.A	1336.0	1660.0
NMAAHC-HCA_21.39.A	1660.0	1348.0
NMAAHC-HCA_21.41.B	1362.0	1660.0
NMAAHC-HCA_20.26.C	1770.0	1410.0
NMAAHC-HCA_20.28.A	1800.0	1434.0
NMAAHC-HCA_20.28.B	1812.0	1417.0
NMAAHC-HCA_20.28.C	1770.0	1410.0
NMAAHC-HCA_20.29.B	1812.0	1417.0
NMAAHC-HCA_20.29.D	1794.0	1423.0
NMAAHC-HCA_20.31.B	1812.0	1417.0
NMAAHC-HCA_10.31.D	1794.0	1447.0
NMAAHC-HCA_10.32.B	1434.0	1710.0
NMAAHC-HCA_10.33.A	1392.0	1848.0
NMAAHC-HCA_10.36.C	1410.0	1776.0
NMAAHC-HCA_10.40.D	1794.0	1447.0
NMAAHC-HCA_10.42.B.1	1248.0	792.0
NMAAHC-HCA_10.46.C	1410.0	1776.0
NMAAHC-HCA_10.48.D	1794.0	1447.0
NMAAHC-HCA_10.50.D	1794.0	1447.0
NMAAHC-HCA_10.7.A	1848.0	1392.0
NMAAHC-HCA_10.7.B	1710.0	1434.0
NMAAHC-HCA_10.7.D	1794.0	1447.0
NMAAHC-HCA_10.8.C	1776.0	1410.0
NMAAHC-HCA_11.1.D	1728.0	1381.0
NMAAHC-HCA_11.11.A	1698.0	1434.0
NMAAHC-HCA_11.11.C	1704.0	1392.0
NMAAHC-HCA_11.12.D	1728.0	1381.0
NMAAHC-HCA_11.13.B.1	1269.0	810.0
NMAAHC-HCA_11.14.A	1698.0	1434.0
NMAAHC-HCA_11.20.B	1728.0	1375.0
NMAAHC-HCA_11.20.C	1704.0	1392.0
NMAAHC-HCA_11.22.C	1704.0	1392.0
NMAAHC-HCA_11.23.A.1	1296.0	807.0
NMAAHC-HCA_11.23.C	1392.0	1704.0
NMAAHC-HCA_11.23.D.2	1236.0	801.0
NMAAHC-HCA_11.27.B	1728.0	1375.0
