width	height	edan_id	ids_id
499.0	627.0	nmaahc_2007.1.69.1.34.B	NMAAHC-HCA_1_34_B
500.0	412.0	nmaahc_2007.1.69.1.34.C	NMAAHC-HCA_1_34_C
499.0	627.0	nmaahc_2007.1.69.1.34.D	NMAAHC-HCA_1_34_D
499.0	602.0	nmaahc_2007.1.69.1.35.A	NMAAHC-HCA_1_35_A
499.0	627.0	nmaahc_2007.1.69.1.35.B	NMAAHC-HCA_1_35_B
500.0	607.0	nmaahc_2007.1.69.1.35.C	NMAAHC-HCA_1_35_C
499.0	627.0	nmaahc_2007.1.69.1.35.D	NMAAHC-HCA_1_35_D
499.0	602.0	nmaahc_2007.1.69.1.36.A	NMAAHC-HCA_1_36_A
499.0	627.0	nmaahc_2007.1.69.1.36.B	NMAAHC-HCA_1_36_B
500.0	607.0	nmaahc_2007.1.69.1.36.C	NMAAHC-HCA_1_36_C
499.0	627.0	nmaahc_2007.1.69.1.36.D	NMAAHC-HCA_1_36_D
499.0	602.0	nmaahc_2007.1.69.1.37.A	NMAAHC-HCA_1_37_A
499.0	627.0	nmaahc_2007.1.69.1.37.B	NMAAHC-HCA_1_37_B
500.0	607.0	nmaahc_2007.1.69.1.37.C	NMAAHC-HCA_1_37_C
499.0	627.0	nmaahc_2007.1.69.1.37.D	NMAAHC-HCA_1_37_D
499.0	602.0	nmaahc_2007.1.69.1.38.A	NMAAHC-HCA_1_38_A
499.0	627.0	nmaahc_2007.1.69.1.38.B	NMAAHC-HCA_1_38_B
500.0	607.0	nmaahc_2007.1.69.1.38.C	NMAAHC-HCA_1_38_C
499.0	627.0	nmaahc_2007.1.69.1.38.D	NMAAHC-HCA_1_38_D
499.0	602.0	nmaahc_2007.1.69.1.39.A	NMAAHC-HCA_1_39_A
499.0	627.0	nmaahc_2007.1.69.1.39.B	NMAAHC-HCA_1_39_B
500.0	607.0	nmaahc_2007.1.69.1.39.C	NMAAHC-HCA_1_39_C
499.0	627.0	nmaahc_2007.1.69.1.39.D	NMAAHC-HCA_1_39_D
500.0	599.0	nmaahc_2007.1.69.1.4.A	NMAAHC-HCA_1_4_A
500.0	614.0	nmaahc_2007.1.69.1.4.B	NMAAHC-HCA_1_4_B
499.0	627.0	nmaahc_2007.1.69.1.4.C	NMAAHC-HCA_1_4_C
500.0	607.0	nmaahc_2007.1.69.1.4.D	NMAAHC-HCA_1_4_D
499.0	602.0	nmaahc_2007.1.69.1.40.A	NMAAHC-HCA_1_40_A
499.0	627.0	nmaahc_2007.1.69.1.40.B	NMAAHC-HCA_1_40_B
500.0	607.0	nmaahc_2007.1.69.1.40.C	NMAAHC-HCA_1_40_C
499.0	627.0	nmaahc_2007.1.69.1.40.D	NMAAHC-HCA_1_40_D
499.0	602.0	nmaahc_2007.1.69.1.41.A	NMAAHC-HCA_1_41_A
499.0	627.0	nmaahc_2007.1.69.1.41.B	NMAAHC-HCA_1_41_B
500.0	607.0	nmaahc_2007.1.69.1.41.C	NMAAHC-HCA_1_41_C
499.0	627.0	nmaahc_2007.1.69.1.41.D	NMAAHC-HCA_1_41_D
499.0	602.0	nmaahc_2007.1.69.1.42.A	NMAAHC-HCA_1_42_A
